,artist,pixelsx,pixelsy,size_bytes,style,title,new_filename,filepath
31,Edgar Degas,1074.0,795.0,253705.0,Impressionism,Sulking ,55610.jpg,five_classes/55610.jpg
32,Lovis Corinth,749.0,1024.0,192414.0,Impressionism,Female Semi-Nude with Hat,85172.jpg,five_classes/85172.jpg
33,Julian Ashton,614.0,937.0,174834.0,Impressionism,"Cumberland St, The Rocks, Sydney ",93346.jpg,five_classes/93346.jpg
34,Willard Metcalf,600.0,545.0,581031.0,Impressionism,Old Homestead Connecticut,20943.jpg,five_classes/20943.jpg
35,Henry Herbert La Thangue,748.0,685.0,113589.0,Impressionism,Roman Campagna,21423.jpg,five_classes/21423.jpg
36,Camille Pissarro,1276.0,1024.0,291327.0,Impressionism,"Avenue de l'Opera, Place du Thretre Francais Misty Weather",62689.jpg,five_classes/62689.jpg
37,Eugene Boudin,1069.0,815.0,227642.0,Impressionism,Market at Trouville,26161.jpg,five_classes/26161.jpg
38,Pieter Wenning,1000.0,722.0,103590.0,Impressionism,Still Life,13721.jpg,five_classes/13721.jpg
39,Alfred Sisley,641.0,800.0,96976.0,Impressionism,A Village Street in Winter,17026.jpg,five_classes/17026.jpg
40,Auguste Rodin,791.0,1124.0,467694.0,Impressionism,Untitled,15038.jpg,five_classes/15038.jpg
41,Paul Signac,573.0,739.0,51404.0,Impressionism,Rue Caulaincourt. Mills on Montmarte,77455.jpg,five_classes/77455.jpg
42,Claude Monet,2145.0,1352.0,379588.0,Impressionism,NOT DETECTED,90344.jpg,five_classes/90344.jpg
43,Isaac Levitan,712.0,1000.0,161668.0,Impressionism,Aspen forest,31320.jpg,five_classes/31320.jpg
44,Camille Pissarro,1244.0,1024.0,293929.0,Impressionism,The Port of Le Havre 2,396.jpg,five_classes/396.jpg
45,Gustave Caillebotte,765.0,1044.0,88197.0,Impressionism,"Yerres, Path Through the Old Growth Woods in the Park",86935.jpg,five_classes/86935.jpg
46,Edgar Degas,1060.0,954.0,233037.0,Impressionism,At the Cafe des Ambassadeurs,88817.jpg,five_classes/88817.jpg
47,John Singer Sargent,987.0,778.0,267288.0,Impressionism,The Sketchers,18700.jpg,five_classes/18700.jpg
48,Konstantin Korovin,492.0,778.0,23792.0,Impressionism,Woman with Guitar,79910.jpg,five_classes/79910.jpg
49,John Henry Twachtman,920.0,1135.0,305691.0,Impressionism,Newport Harbor,90833.jpg,five_classes/90833.jpg
50,Julian Ashton,600.0,347.0,91274.0,Impressionism,The ferry ,26982.jpg,five_classes/26982.jpg
51,Gustave Caillebotte,1065.0,872.0,60903.0,Impressionism,"Paris, a Rainy Day ",97054.jpg,five_classes/97054.jpg
52,Konstantin Korovin,1000.0,681.0,134443.0,Impressionism,Village in northern Russia ,85107.jpg,five_classes/85107.jpg
53,Ivan Grohar,1550.0,1600.0,1841522.0,Impressionism,Larch,41551.jpg,five_classes/41551.jpg
54,Maurice Prendergast,1102.0,837.0,224727.0,Impressionism,After the Storm,76725.jpg,five_classes/76725.jpg
55,Pierre-Auguste Renoir,1108.0,900.0,167836.0,Impressionism,The Luncheon,37748.jpg,five_classes/37748.jpg
56,Gustave Caillebotte,1729.0,2484.0,892027.0,Impressionism,A Balcony in Paris,48779.jpg,five_classes/48779.jpg
57,Hoca Ali Riza,468.0,440.0,24724.0,Impressionism,unknown title,18180.jpg,five_classes/18180.jpg
58,Claude Monet,2000.0,1653.0,959157.0,Impressionism,Cliff at Grainval,36972.jpg,five_classes/36972.jpg
59,Paul Gauguin,1129.0,929.0,231431.0,Impressionism,Portrait of Achille Granchi Taylor,55162.jpg,five_classes/55162.jpg
60,Paul Gauguin,918.0,1122.0,138195.0,Impressionism,Portrait of Ingeborg Thaulow,57674.jpg,five_classes/57674.jpg
61,Edgar Degas,888.0,1053.0,222258.0,Impressionism,After the Bath (Woman Drying Herself),64355.jpg,five_classes/64355.jpg
62,Niccolo Cannicci,500.0,618.0,88553.0,Impressionism,In inverno firmato,65363.jpg,five_classes/65363.jpg
63,Gustave Caillebotte,1000.0,428.0,229490.0,Impressionism,Hors d'Oeuvre,58366.jpg,five_classes/58366.jpg
64,John Singer Sargent,1170.0,895.0,109780.0,Impressionism,Granada,84388.jpg,five_classes/84388.jpg
65,Alfred Sisley,1132.0,821.0,243049.0,Impressionism,"Edge of the Forest in Spring, Evening",83049.jpg,five_classes/83049.jpg
66,Eliseu Visconti,644.0,471.0,295501.0,Impressionism,My Child Tobias at Six Months ,32063.jpg,five_classes/32063.jpg
67,Marie Bracquemond,1500.0,2036.0,2175259.0,Impressionism,Iris in a vase 1886,20826.jpg,five_classes/20826.jpg
68,Berthe Morisot,1113.0,901.0,198323.0,Impressionism,Portrait of a Woman in a pink dress,9185.jpg,five_classes/9185.jpg
69,Konstantin Yuon,979.0,763.0,454407.0,Impressionism,"The Triple Near Old ""Yar""",73704.jpg,five_classes/73704.jpg
70,Edgar Degas,2024.0,1470.0,334389.0,Impressionism,Woman at Her Toilette,17139.jpg,five_classes/17139.jpg
71,Eugene Boudin,903.0,718.0,132691.0,Impressionism,The Port of Dieppe,30188.jpg,five_classes/30188.jpg
72,Edgar Degas,1600.0,1067.0,521301.0,Impressionism,Two Dancers at Rest,89041.jpg,five_classes/89041.jpg
73,Eugene Boudin,623.0,800.0,91032.0,Impressionism,Breton Pardon,49167.jpg,five_classes/49167.jpg
74,Rudolf Schweitzer-Cumpana,1000.0,854.0,218370.0,Impressionism,"Still Life with Siphon, Grinder and Hot Pepper",34661.jpg,five_classes/34661.jpg
75,Pierre-Auguste Renoir,885.0,1085.0,290911.0,Impressionism,Peonies,98574.jpg,five_classes/98574.jpg
76,Edgar Degas,911.0,1064.0,284417.0,Impressionism,Village Street,46684.jpg,five_classes/46684.jpg
77,Francisc Sirato,821.0,1000.0,134655.0,Impressionism,Houses on the Shore of Lake Cernica,40700.jpg,five_classes/40700.jpg
78,Robert Julian Onderdonk,899.0,510.0,755343.0,Impressionism,Sunlit Hillside,57700.jpg,five_classes/57700.jpg
79,Konstantin Korovin,694.0,1000.0,153574.0,Impressionism,In conjunction ,83790.jpg,five_classes/83790.jpg
80,Giovanni Boldini,763.0,800.0,117182.0,Impressionism,Scena Galante,63236.jpg,five_classes/63236.jpg
81,Childe Hassam,863.0,924.0,1185004.0,Impressionism,Edith Blaney (Mrs. Dwight Blaney),3962.jpg,five_classes/3962.jpg
82,Camille Pissarro,944.0,1256.0,699073.0,Impressionism,Peasant woman with basket,58232.jpg,five_classes/58232.jpg
83,Antoine Blanchard,1040.0,750.0,1549395.0,Impressionism,Theatre du Chatelet,40439.jpg,five_classes/40439.jpg
84,Pierre-Auguste Renoir,1104.0,857.0,322347.0,Impressionism,Young Woman in a Garden,66545.jpg,five_classes/66545.jpg
85,Claude Monet,1477.0,1600.0,799324.0,Impressionism,Water Lilies,99099.jpg,five_classes/99099.jpg
86,Guy Rose,739.0,950.0,731799.0,Impressionism,In the Studio,26070.jpg,five_classes/26070.jpg
87,Alfred Sisley,667.0,800.0,150995.0,Impressionism,Sunny Afternoon Willows by the Loing,30588.jpg,five_classes/30588.jpg
88,Claude Monet,2000.0,1470.0,4027816.0,Impressionism,"The Summer, Poppy Field",35451.jpg,five_classes/35451.jpg
89,Hoca Ali Riza,600.0,440.0,15330.0,Impressionism,unknown title,77554.jpg,five_classes/77554.jpg
90,William Merritt Chase,758.0,901.0,68804.0,Impressionism,Portrait of Fra Dana,11658.jpg,five_classes/11658.jpg
91,Auguste Rodin,784.0,1000.0,88856.0,Impressionism,Minerva,51047.jpg,five_classes/51047.jpg
92,Anders Zorn,1000.0,1907.0,228905.0,Impressionism,Mrs Potter Palmer,80452.jpg,five_classes/80452.jpg
93,Rudolf Schweitzer-Cumpana,1000.0,793.0,173572.0,Impressionism,At the Fortune Teller,9808.jpg,five_classes/9808.jpg
94,Claude Monet,2000.0,1501.0,1118771.0,Impressionism,Vetheuil,98335.jpg,five_classes/98335.jpg
95,Asgrimur Jonsson,450.0,344.0,55236.0,Impressionism,Night in Reykjavík,17771.jpg,five_classes/17771.jpg
96,Konstantin Korovin,1000.0,501.0,118418.0,Impressionism,Two in a chair ,52535.jpg,five_classes/52535.jpg
97,Konstantin Korovin,1000.0,811.0,189916.0,Impressionism,Paris by Night ,58235.jpg,five_classes/58235.jpg
98,Anders Zorn,1000.0,1418.0,240405.0,Impressionism,Firelight,45346.jpg,five_classes/45346.jpg
99,Edgar Degas,2694.0,2523.0,1061855.0,Impressionism,Ballet Scene from Robert la Diable,80726.jpg,five_classes/80726.jpg
100,Winston Churchill,500.0,449.0,61078.0,Impressionism,At the Pyramids,99057.jpg,five_classes/99057.jpg
101,Constantin Artachino,973.0,600.0,240439.0,Impressionism,Balcic Gulf,12183.jpg,five_classes/12183.jpg
102,Antoine Blanchard,1046.0,750.0,1057264.0,Impressionism,Arc de Triomphe,74140.jpg,five_classes/74140.jpg
103,Hoca Ali Riza,800.0,545.0,73212.0,Impressionism,Peyzaj,71246.jpg,five_classes/71246.jpg
104,Joaquín Sorolla,800.0,595.0,126010.0,Impressionism,"Castle of La Mota, Medina del Campo",91662.jpg,five_classes/91662.jpg
105,Pierre-Auguste Renoir,1100.0,1024.0,346525.0,Impressionism,Woman in Blue and Zaza in a Landscape,11691.jpg,five_classes/11691.jpg
106,Claude Monet,1536.0,1826.0,1198393.0,Impressionism,Weeping Willow,74617.jpg,five_classes/74617.jpg
107,Lilla Cabot Perry,768.0,844.0,112043.0,Impressionism,Portrait of a Lady ,81714.jpg,five_classes/81714.jpg
108,Winston Churchill,500.0,618.0,67654.0,Impressionism,The Blue Room at Lympne,58923.jpg,five_classes/58923.jpg
109,James McNeill Whistler,964.0,722.0,121965.0,Impressionism,"Note in Red, The Siesta",10773.jpg,five_classes/10773.jpg
110,Mary Cassatt,658.0,800.0,102229.0,Impressionism,Roman Girl,79427.jpg,five_classes/79427.jpg
111,Pierre-Auguste Renoir,890.0,1093.0,57866.0,Impressionism,Young Girl in the Garden at Mezy,33895.jpg,five_classes/33895.jpg
112,Camille Pissarro,1276.0,1024.0,316740.0,Impressionism,The Road to Versailles at Louveciennes,65179.jpg,five_classes/65179.jpg
113,John Atkinson Grimshaw,800.0,657.0,132190.0,Impressionism,Summer,27445.jpg,five_classes/27445.jpg
114,Pierre-Auguste Renoir,1280.0,822.0,168287.0,Impressionism,Rest,101018.jpg,five_classes/101018.jpg
115,Henri de Toulouse-Lautrec,1144.0,682.0,180671.0,Impressionism,Fishing Boat,9091.jpg,five_classes/9091.jpg
116,Pierre Emmanuel Damoye,570.0,346.0,134606.0,Impressionism,The French coastline at sunset,69450.jpg,five_classes/69450.jpg
117,Iosif Iser,604.0,395.0,96318.0,Impressionism,Houses in Bucharest,27807.jpg,five_classes/27807.jpg
118,John Singer Sargent,1311.0,956.0,431828.0,Impressionism,Flotsam and Jetsam,44892.jpg,five_classes/44892.jpg
119,Robert Spencer,956.0,799.0,985505.0,Impressionism,Waterloo Row ,84532.jpg,five_classes/84532.jpg
120,Rudolf Schweitzer-Cumpana,766.0,778.0,147787.0,Impressionism,Reeler,35681.jpg,five_classes/35681.jpg
121,Lesser Ury,1280.0,891.0,335683.0,Impressionism,Tiergartenallee mit Siegessäule,89843.jpg,five_classes/89843.jpg
122,Max Slevogt,2253.0,1821.0,3329100.0,Impressionism,"Francisco d'Andrade, Reading a Newspaper",93750.jpg,five_classes/93750.jpg
123,Peder Severin Kroyer,910.0,654.0,515530.0,Impressionism,A Summer's Day at Skagen South Beach,99745.jpg,five_classes/99745.jpg
124,Camille Pissarro,1028.0,828.0,203628.0,Impressionism,"The Sower, Montfoucault",23459.jpg,five_classes/23459.jpg
125,Piet Mondrian,723.0,952.0,368060.0,Impressionism,Anemones in a Vase,83497.jpg,five_classes/83497.jpg
126,Valentin Serov,545.0,774.0,52043.0,Impressionism,Pomors,56498.jpg,five_classes/56498.jpg
127,Leon Dabo,490.0,617.0,32501.0,Impressionism,Still Life With Flowers,75034.jpg,five_classes/75034.jpg
128,Claude Monet,2500.0,2192.0,2050796.0,Impressionism,"The Artist's House, View from the Rose Garden",95390.jpg,five_classes/95390.jpg
129,Edouard Manet,592.0,545.0,24612.0,Impressionism,At the Café,59152.jpg,five_classes/59152.jpg
130,Arkhip Kuindzhi,1000.0,724.0,147104.0,Impressionism,Night,89284.jpg,five_classes/89284.jpg
131,Vasile Popescu,812.0,1000.0,202199.0,Impressionism,Still Life with Pipe and Basket Full of Violets,76039.jpg,five_classes/76039.jpg
132,Robert Julian Onderdonk,1280.0,1014.0,1494873.0,Impressionism,Bluebonnets in Texas,10184.jpg,five_classes/10184.jpg
133,Claude Monet,2500.0,1848.0,3364541.0,Impressionism,The Church at Varengeville and the Gorge of Les Moutiers,103186.jpg,five_classes/103186.jpg
134,Guy Rose,900.0,1166.0,1580392.0,Impressionism,Laguna Eucalyptus,75444.jpg,five_classes/75444.jpg
135,William Merritt Chase,1280.0,893.0,1712518.0,Impressionism,Gondolas along Venetian Canal (aka Gondola in Venice),75028.jpg,five_classes/75028.jpg
136,Armando Reveron,755.0,537.0,133170.0,Impressionism,Fiesta en Carballeda,34232.jpg,five_classes/34232.jpg
137,Antoine Blanchard,1038.0,750.0,1260471.0,Impressionism,Champs Elysees,46522.jpg,five_classes/46522.jpg
138,Armando Reveron,658.0,506.0,51278.0,Impressionism,El Playón,50203.jpg,five_classes/50203.jpg
139,Paul Gauguin,1052.0,668.0,164013.0,Impressionism,Autumn Landscape (Farm and pond),14059.jpg,five_classes/14059.jpg
140,Lovis Corinth,541.0,469.0,162258.0,Impressionism,Morning Sun,22315.jpg,five_classes/22315.jpg
141,Pierre-Auguste Renoir,912.0,1073.0,249156.0,Impressionism,Helene Bellow,60250.jpg,five_classes/60250.jpg
142,Pierre-Auguste Renoir,1280.0,887.0,1636328.0,Impressionism,Landscape with Cabin,68739.jpg,five_classes/68739.jpg
143,Philip Wilson Steer,500.0,354.0,60919.0,Impressionism,Landscape with Trees in Yorkshire,33818.jpg,five_classes/33818.jpg
144,Julian Alden Weir,652.0,901.0,172514.0,Impressionism,Midday,76496.jpg,five_classes/76496.jpg
145,Paul Gauguin,1121.0,922.0,412797.0,Impressionism,"Oestervold Park, Copenhagen",61008.jpg,five_classes/61008.jpg
146,Paul Gauguin,1237.0,997.0,307436.0,Impressionism,Landscape with cows in an Orchard,95623.jpg,five_classes/95623.jpg
147,Pierre-Auguste Renoir,1141.0,1531.0,473576.0,Impressionism,The Swing (La Balançoire),101901.jpg,five_classes/101901.jpg
148,Antoine Blanchard,1041.0,750.0,1220592.0,Impressionism,Rue Royal Madeleine,31735.jpg,five_classes/31735.jpg
149,Konstantin Korovin,1000.0,615.0,114329.0,Impressionism,On a Terrace. Evening in the Coutry,28458.jpg,five_classes/28458.jpg
150,Eugene Boudin,950.0,652.0,114834.0,Impressionism,"Berck, Fisherwomen on the Beach",9260.jpg,five_classes/9260.jpg
151,Willard Metcalf,1205.0,1099.0,437082.0,Impressionism,The Landing Place,82334.jpg,five_classes/82334.jpg
152,Paul Gauguin,775.0,1123.0,219077.0,Impressionism,The embroiderer or Mette Gauguin,34363.jpg,five_classes/34363.jpg
153,Eugene Boudin,1067.0,581.0,107803.0,Impressionism,"Antwerp, the Port",34059.jpg,five_classes/34059.jpg
154,Claude Monet,2000.0,1317.0,405090.0,Impressionism,The Village of Vetheuil,70313.jpg,five_classes/70313.jpg
155,Henry Herbert La Thangue,944.0,813.0,123777.0,Impressionism,The Festa,47571.jpg,five_classes/47571.jpg
156,Eugene Boudin,2560.0,1541.0,414195.0,Impressionism,Seehafen,19310.jpg,five_classes/19310.jpg
157,Konstantin Korovin,1000.0,346.0,76608.0,Impressionism,Venice ,62300.jpg,five_classes/62300.jpg
158,Childe Hassam,1280.0,877.0,1619204.0,Impressionism,Isle of Shoals,101978.jpg,five_classes/101978.jpg
159,William Merritt Chase,1000.0,953.0,208921.0,Impressionism,Portrait of Miss Dora Wheeler,12808.jpg,five_classes/12808.jpg
160,Claude Monet,2000.0,1579.0,1948732.0,Impressionism,"The Grand Canal, Venice",30420.jpg,five_classes/30420.jpg
161,Claude Monet,1612.0,1993.0,1237753.0,Impressionism,The Garden at Vetheuil,10329.jpg,five_classes/10329.jpg
162,Robert Julian Onderdonk,1280.0,853.0,1328538.0,Impressionism,Landscape,35907.jpg,five_classes/35907.jpg
163,Joaquín Sorolla,420.0,800.0,57038.0,Impressionism,Portrait of Dona Elena Ortuzar Blasco Ibanez,103190.jpg,five_classes/103190.jpg
164,Konstantin Korovin,1000.0,763.0,163343.0,Impressionism,Winter ,57563.jpg,five_classes/57563.jpg
165,Lilla Cabot Perry,1033.0,763.0,397021.0,Impressionism,At the Window (also known as Portrait of Julia Sullivan Lynch) ,12581.jpg,five_classes/12581.jpg
166,Lucian Grigorescu,1000.0,757.0,136470.0,Impressionism,Rooftops Seen from Sf. Gheorghe Square,10849.jpg,five_classes/10849.jpg
167,Armand Guillaumin,800.0,578.0,356688.0,Impressionism,Sunset in Creuse,72438.jpg,five_classes/72438.jpg
168,Gustave Caillebotte,2252.0,1793.0,568521.0,Impressionism,The Parquet Planers,14092.jpg,five_classes/14092.jpg
169,Samuel Mutzner,770.0,1000.0,139428.0,Impressionism,Chrysanthemums in Japanese Vase,33693.jpg,five_classes/33693.jpg
170,William Merritt Chase,861.0,1122.0,183545.0,Impressionism,Portrait of Virginia Gerson,4021.jpg,five_classes/4021.jpg
171,Isaac Levitan,1000.0,601.0,105644.0,Impressionism,Gray day,25789.jpg,five_classes/25789.jpg
172,Valentin Serov,923.0,1000.0,125076.0,Impressionism,Portrait of Sophia Dragomirova-Lukomskaya,92214.jpg,five_classes/92214.jpg
173,William Merritt Chase,1280.0,981.0,159808.0,Impressionism,"Olive Trees, Florence",45229.jpg,five_classes/45229.jpg
174,Claude Monet,1537.0,1332.0,1550020.0,Impressionism,Water Lilies,55050.jpg,five_classes/55050.jpg
175,Paul Cezanne,1280.0,1014.0,269212.0,Impressionism,In the Oise Valley  ,84779.jpg,five_classes/84779.jpg
176,Eugene Boudin,1134.0,502.0,151894.0,Impressionism,Beach Scene,74223.jpg,five_classes/74223.jpg
177,Lesser Ury,650.0,531.0,460704.0,Impressionism,Der blaue Berg,103218.jpg,five_classes/103218.jpg
178,Camille Pissarro,1176.0,1024.0,454313.0,Impressionism,"The Barn, Morning, Eragny",31624.jpg,five_classes/31624.jpg
179,Octav Angheluta,1149.0,1306.0,339495.0,Impressionism,Dad,81724.jpg,five_classes/81724.jpg
180,John Henry Twachtman,1280.0,879.0,471911.0,Impressionism,The Ledges,89396.jpg,five_classes/89396.jpg
181,Camille Pissarro,1236.0,1024.0,304642.0,Impressionism,"The Seine at Paris, Pont Royal",100132.jpg,five_classes/100132.jpg
182,Paul Gauguin,1134.0,805.0,241371.0,Impressionism,In the forest Saint Cloud ,48810.jpg,five_classes/48810.jpg
183,Matej Sternen,380.0,500.0,34249.0,Impressionism,Primož Trubar,61470.jpg,five_classes/61470.jpg
184,Nicolae Vermont,1000.0,636.0,154498.0,Impressionism,Turkeys in Vlaici,79561.jpg,five_classes/79561.jpg
185,Edgar Degas,1010.0,1093.0,154845.0,Impressionism,A Visit to the Museum,87666.jpg,five_classes/87666.jpg
186,Rudolf Schweitzer-Cumpana,779.0,1000.0,136661.0,Impressionism,Street in Paris,43462.jpg,five_classes/43462.jpg
187,Guy Rose,950.0,792.0,1005383.0,Impressionism,"River Epte, Giverny",3394.jpg,five_classes/3394.jpg
188,Claude Monet,1494.0,1200.0,622864.0,Impressionism,The Towpath at Granval,33924.jpg,five_classes/33924.jpg
189,Childe Hassam,1280.0,949.0,419335.0,Impressionism,Canal Scene,12948.jpg,five_classes/12948.jpg
190,Adam Baltatu,504.0,348.0,33373.0,Impressionism,Sighişoara,76768.jpg,five_classes/76768.jpg
191,Julian Ashton,600.0,1014.0,116353.0,Impressionism,"Tamarama Beach, forty years ago, a summer morning ",84369.jpg,five_classes/84369.jpg
192,Max Kurzweil,485.0,337.0,38844.0,Impressionism,A walk in the garden,81981.jpg,five_classes/81981.jpg
193,Claude Monet,2500.0,1991.0,3276450.0,Impressionism,"Rocks at Port Coton, the Lion Rock",29003.jpg,five_classes/29003.jpg
194,Mary Cassatt,792.0,948.0,153887.0,Impressionism,Portrait of Mie Louise Durand Ruel,62596.jpg,five_classes/62596.jpg
195,Nicolae Vermont,1000.0,728.0,148994.0,Impressionism,Autumn Allegory (The Art and The Wine),48956.jpg,five_classes/48956.jpg
196,Eugene Boudin,1074.0,771.0,147876.0,Impressionism,Fishermen and Sailboats near Trouville,2974.jpg,five_classes/2974.jpg
197,Charles Reiffel,700.0,469.0,32220.0,Impressionism,"Foggy Morning, No. 2",46034.jpg,five_classes/46034.jpg
198,John Henry Twachtman,1028.0,755.0,763243.0,Impressionism,Boat at Bulkhead,78224.jpg,five_classes/78224.jpg
199,Claude Monet,1451.0,1959.0,650274.0,Impressionism,Lunch on the Grass (study),29071.jpg,five_classes/29071.jpg
200,T. C. Steele,1024.0,768.0,367217.0,Impressionism,Daisy by the River,37056.jpg,five_classes/37056.jpg
201,T. C. Steele,825.0,1075.0,216580.0,Impressionism,"Evening, Poplars",47278.jpg,five_classes/47278.jpg
202,Joaquín Sorolla,574.0,835.0,186659.0,Impressionism,Fountain at the Alcazin Sevilla,59244.jpg,five_classes/59244.jpg
203,Theophrastos Triantafyllidis,654.0,472.0,46879.0,Impressionism,Governess in the park,5403.jpg,five_classes/5403.jpg
204,Nicolae Grigorescu,700.0,366.0,68418.0,Impressionism,Smârdan Attack,42686.jpg,five_classes/42686.jpg
205,James McNeill Whistler,1058.0,610.0,115934.0,Impressionism,Flower Market,74624.jpg,five_classes/74624.jpg
206,Childe Hassam,782.0,1023.0,323818.0,Impressionism,Conversation on the Avenue,32432.jpg,five_classes/32432.jpg
207,Stefan Popescu,831.0,1000.0,127723.0,Impressionism,Forest Vista,95177.jpg,five_classes/95177.jpg
208,John Henry Twachtman,1234.0,1024.0,1729346.0,Impressionism,Farm Scene,9612.jpg,five_classes/9612.jpg
209,John Henry Twachtman,2832.0,2128.0,1138814.0,Impressionism,A Summer Day,67335.jpg,five_classes/67335.jpg
210,Mary Cassatt,736.0,1039.0,160501.0,Impressionism,Mrs. Robert S. Cassatt (Katherine Kelson Johnston Cassatt),63571.jpg,five_classes/63571.jpg
211,Eugene Boudin,899.0,1115.0,213139.0,Impressionism,"Deauville, the Harbor",13622.jpg,five_classes/13622.jpg
212,Laura Knight,792.0,944.0,108217.0,Impressionism,The Cruel Sea,87490.jpg,five_classes/87490.jpg
213,James Charles,449.0,800.0,58947.0,Impressionism,Dancing Lesson,44476.jpg,five_classes/44476.jpg
214,Henri Matisse,592.0,720.0,38043.0,Impressionism,Open Window at Collioure,72248.jpg,five_classes/72248.jpg
215,Paul Gauguin,1132.0,788.0,284859.0,Impressionism,Nasturtiums & dahlias in a basket,54701.jpg,five_classes/54701.jpg
216,Thomas Kinkade,520.0,390.0,67813.0,Impressionism,Portofino,6390.jpg,five_classes/6390.jpg
217,Laszlo Mednyanszky,836.0,550.0,69081.0,Impressionism,Melting,27227.jpg,five_classes/27227.jpg
218,Eugene Boudin,1053.0,738.0,136939.0,Impressionism,Near Faou,62887.jpg,five_classes/62887.jpg
219,John Henry Twachtman,1042.0,1027.0,1591388.0,Impressionism,Waterfall,22056.jpg,five_classes/22056.jpg
220,Willard Metcalf,895.0,821.0,267341.0,Impressionism,Buttercup Time,91415.jpg,five_classes/91415.jpg
221,Edgar Degas,1064.0,717.0,136784.0,Impressionism,Houses by the Seaside,45175.jpg,five_classes/45175.jpg
222,Mary Cassatt,716.0,946.0,136815.0,Impressionism,"Baby in His Mother`s arms, sucking his finger",91868.jpg,five_classes/91868.jpg
223,Pierre-Auguste Renoir,914.0,1128.0,205417.0,Impressionism,First Portrait of Madame Georges Charpeitier,30530.jpg,five_classes/30530.jpg
